CmdSelectAll,Selecciona todo
MsgAsPresentInCfgRec,: en el registro de configuración:
MsgMissingInDoc,: no hay en el documento.
MsgAsPresentInDoc,: en el documento:
msgInvalidValueofSeccode,Valor inválido de seccode: 
MsgCheckingCfgDoc,Verificando la configuración del documento.
label_isstitle,Título de la revista
label_DateISO,Fecha ISO
label_Status,Status
MsgWrongNumberofRecType,Error en el archivo de inicialización (.ini) de la biblioteca virtual: descripción de DTD
MsgBVINIFileFailure,Error en el archivo de inicialización (.ini) de la biblioteca virtual: línea: 
MsgINIFileFailure,Error en convert.ini: línea: 
MsgISSNFILEFailure,Error en issndb.ini: línea: 
MsgNotFoundPath, - Directorio no encontrado: 
MsgNotFoundFile, - Archivo no encontrado: 
MsgMissingSerial,"No hay revistas en la base de datos. Para insertarlas, use el programa Title Manager."
MsgDocisnotloaded,: no está cargado.
MsgCreationInvFileFailure,Error en la creación del archivo invertido
MsgLogDatabaseStatusMissing,: sin status en la base de datos de log
MsgExit,Salir?
MsgInvalidValue, - Valor inválido de:
MsgHelpFilenotfound,Archivo de ayuda no encontrado
MsgNoWebBrowserwasselected,Ningún web browser fue seleccionado
formmarkup_lawscope,Alcance
formmarkup_country,País
formmarkup_state,Estado/Provincia
formmarkup_city,Ciudad
formmarkup_lawyear,Año de las leyes
formMarkup_lawtype,Tipo de las leyes
formmarkup_conversiondate,Fecha de la 1er conversión
formMarkup_invalidjournaltitle,Título de revista inválido
formMarkup_invalidsiglumtitle,Sigla de revista inválida
formMarkup_invalidvolume,Volumen inválido
formMarkup_invalidsupplvol,Suplemento de volumen inválido
formMarkup_invalidissueno,Número inválido
formMarkup_invalidsupplno,Suplemento de número inválido
formmarkup_invalidlawscope,Alcance de la ley inválido. Entre con el código del alcance de la ley.
formmarkup_invalidcountry,País inválido. Entre con el país de la ley.
formmarkup_invalidstate,Provincia inválida. Entre con la provincia de la ley.
formmarkup_invalidcity,Ciudad inválida. Entre con la ciudad de la ley.
formmarkup_invalidlawyear,Año de la ley inválido. Entre con el año compuesto por 4 dígitos.
formmarkup_invalidlawtype,Tipo de la ley inválido. Entre con el tipo de la ley con 2 caracteres.
formmarkup_invalidconvertdate,Fecha de la 1era conversión inválida. Entre con la fecha en el formato ISO. Esta fecha es el nombre del directorio de la base de datos que será generada.
seccode,Código de la sección
formmarkup_invalidserial,Nombre de periódico o revista inválido.
formmarkup_invalidnewsdate,Fecha de la noticia inválida.
formmarkup_invalidsertype,Tipo de la publicación inválido.
formmarkup_newsdate,Fecha
formmarkup_serial,Publicación
formmarkup_sertype,Tipo de publicación
formmarkup_language,Idioma
formmarkup_invalidlanguage,Idioma inválido
formmarkup_invaliddbname,Nombre de la base de datos inválido. Debe tener hasta 8 caracteres.
formMarkup_LabYear,Año
formMarkup_invalidyear,Valor inválido de año.
NoParserOutput,Parser no retornó ningun resultado.
formMarkup_section,Sección
formMarkup_invalidsection,Valor inválido de la sección.
formMarkup_doctype,Tipo del documento
formMarkup_invaliddoctype,Valor inválido del documento.
formMarkup_group,Grupo
formMarkup_invalidgroup,Valor inválido do Grupo
formdb_caption,Administración de las bases de datos
frmabout_caption,Sobre Converter
frmabout_prgtitle,Converter
frmabout_prgversion,versión 2.0
frmabout_prgctrlcode,20001019
frmabout_systeminfo,Información de Sistema
formadm_caption,Administración de las Bases de Datos
formadm_labsearchtype,Tipo de Búsqueda
formadm_FrameFind,Lista Bases de Datos
formsearch_caption,Búsqueda de Bases de Datos
formsearch_lawno,Número de la ley
formadm_FrameDelete,Selección de las bases de datos para borrar
formadm_FoundDB,Bases de Datos encontradas:
formadm_TotalDB,Total de Bases de Datos encontradas:
formadm_CmdDetails,Detalles
formadm_SelectedDB,Bases de Datos seleccionadas para borrar:
formadm_DeletedDB,Bases de Dados borradas:
formdelete_Caption,Borrar la base de datos
formdelete_Warning,Usted ha seleccionado esta base de datos para borrar. ¿Está seguro?
